date,time,epicenter,緯度,経度,depth,magnitude,maxshindo,lat,lng
2001/1/14,8:55:07,兵庫県北部,35°28.5′N,134°30.5′E,11 km,4.3,震度３,35.475,134.5083333
2001/1/14,8:57:57,兵庫県北部,35°28.1′N,134°31.3′E,10 km,2.8,震度１,35.46833333,134.5216667
2001/1/14,12:03:48,兵庫県北部,35°28.4′N,134°30.5′E,10 km,3.3,震度１,35.47333333,134.5083333
2001/1/14,17:19:03,トカラ列島近海,29°49.7′N,129°51.5′E,7 km,,震度１,29.82833333,129.8583333
2001/1/14,17:58:30,硫黄島近海,22°36.9′N,144°22.9′E,132 km,6.2,震度１,22.615,144.3816667
2001/1/14,18:56:42,兵庫県北部,35°28.0′N,134°29.4′E,9 km,2.9,震度１,35.46666667,134.49
2001/1/14,21:21:39,兵庫県北部,35°27.9′N,134°29.1′E,10 km,3.1,震度２,35.465,134.485
2001/1/15,3:51:42,兵庫県北部,35°28.0′N,134°31.4′E,8 km,2.9,震度１,35.46666667,134.5233333
2001/1/15,6:48:42,兵庫県北部,35°27.8′N,134°30.2′E,10 km,2.5,震度１,35.46333333,134.5033333
2001/1/15,7:50:54,兵庫県北部,35°27.8′N,134°31.3′E,10 km,3.3,震度２,35.46333333,134.5216667
2001/1/15,10:06:39,兵庫県北部,35°27.9′N,134°29.4′E,10 km,3.9,震度２,35.465,134.49
2001/1/15,13:34:30,兵庫県北部,35°28.4′N,134°29.1′E,9 km,2.7,震度１,35.47333333,134.485
2001/1/15,14:25:57,兵庫県北部,35°28.6′N,134°30.7′E,9 km,2.8,震度１,35.47666667,134.5116667
2001/1/15,15:29:09,兵庫県北部,35°28.4′N,134°30.3′E,10 km,2.8,震度１,35.47333333,134.505
2001/1/15,15:59:51,兵庫県北部,35°28.6′N,134°30.8′E,9 km,2.5,震度１,35.47666667,134.5133333
2001/1/15,20:45:56,兵庫県北部,35°27.8′N,134°29.2′E,10 km,2.9,震度１,35.46333333,134.4866667
2001/1/15,22:25:54,島根県東部,35°22.0′N,133°17.6′E,9 km,3.3,震度２,35.36666667,133.2933333
2001/1/15,22:40:22,西表島付近,24°27.8′N,123°44.9′E,11 km,3.2,震度２,24.46333333,123.7483333
